Region,Country,Year,"Births per 1,000 population","Deaths per 1,000 population","Net Number of Migrants per 1,000 population",Rate of natural increase (percent),Growth rate (percent),Population,Births,Deaths,Net Number of Migrants,Natural Increase,Population Change
Africa,Algeria,2009,24.1,4.3,-1,1.98,1.88,35268128,848904,151653,-33857,697251,663393
Africa,Algeria,2010,24.7,4.3,-0.9,2.04,1.95,35949869,887962,154584,-33074,733377,700303
Africa,Algeria,2011,24.6,4.3,-1,2.03,1.93,36654293,901329,157980,-34822,743349,708527
Africa,Algeria,2012,24.4,4.3,-0.9,2.01,1.92,37367226,913255,161053,-35125,752202,717077
Africa,Algeria,2013,24.3,4.3,-0.9,1.99,1.9,38087812,923629,164158,-35422,759471,724049
Africa,Algeria,2014,24,4.3,-0.9,1.97,1.88,38813722,931141,167287,-36097,763854,727757
Africa,Algeria,2015,23.7,4.3,-0.9,1.94,1.84,39542166,935963,170427,-36379,765536,729158
Africa,Algeria,2016,23,4.3,-0.9,1.86,1.77,40263711,924052,173537,-36237,750516,714278
Africa,Algeria,2017,22.2,4.3,-0.9,1.79,1.7,40969443,910341,176578,-36463,733763,697300
Africa,Algeria,2018,21.5,4.3,-0.9,1.72,1.63,41657488,895219,179960,-36242,715259,679017
Africa,Algeria,2019,20.7,4.3,-0.9,1.64,1.56,42325923,877840,183271,-36400,694568,658168
Africa,Angola,2009,47,11.5,2.8,3.54,3.82,21803771,1023905,251179,60178,772726,832904
Africa,Angola,2010,46.8,11.2,1.5,3.56,3.72,22640745,1059587,252897,34414,806690,841104
Africa,Angola,2011,46.6,10.9,1.5,3.57,3.72,23498752,1095512,255666,35248,839845,875094
Africa,Angola,2012,46.4,10.6,2.7,3.58,3.86,24406974,1133216,258714,66875,874502,941377
Africa,Angola,2013,46.2,10.3,1.6,3.59,3.75,25352999,1172069,261643,40311,910426,950737
Africa,Angola,2014,46,10.1,0.9,3.6,3.69,26313499,1210684,264451,24208,946233,970442
Africa,Angola,2015,45.4,9.8,0.5,3.56,3.62,27292149,1239064,266644,14465,972419,986884
Africa,Angola,2016,44.8,9.5,0.3,3.53,3.56,28289713,1267662,268469,9053,999193,1008245
Africa,Angola,2017,44.2,9.2,0.2,3.5,3.52,29310273,1296686,270241,6448,1026446,1032894
Africa,Angola,2018,43.7,9,0.1,3.47,3.49,30355880,1326552,272292,3946,1054260,1058206
Africa,Angola,2019,43.2,8.7,0,3.45,3.45,31427266,1357029,274046,1257,1082984,1084241
Africa,Benin,2009,39.2,9.5,0,2.98,2.98,8791832,344816,83083,0,261733,261733
Africa,Benin,2010,38.7,9.2,0,2.94,2.94,9056010,350196,83587,0,266609,266609
Africa,Benin,2011,38.1,9,0,2.91,2.91,9325032,355377,83925,0,271452,271452
