Region,Country,Year,"Births per 1,000 population","Deaths per 1,000 population","Net Number of Migrants per 1,000 population",Rate of natural increase (percent),Growth rate (percent),Population,Births,Deaths,Net Number of Migrants,Natural Increase,Population Change
Africa,Cameroon,1990,43.4,13.5,0.1,2.99,3,11983123,519948,162012,1078,357936,359014
Africa,Cameroon,1991,42.8,13.4,-0.4,2.94,2.9,12341588,528467,165748,-4690,362719,358029
Africa,Cameroon,1992,42.3,13.4,-0.3,2.89,2.87,12702616,536940,169580,-3303,367360,364057
Africa,Cameroon,1993,41.7,13.3,0.1,2.85,2.86,13071446,545471,173458,1569,372013,373582
Africa,Cameroon,1994,41.5,13.4,0,2.81,2.81,13447059,557650,179787,-269,377862,377593
Africa,Cameroon,1995,41.2,13.5,0,2.78,2.77,13827639,570252,186535,-138,383717,383579
Africa,Cameroon,1996,41,13.6,0,2.74,2.74,14214250,583069,193740,426,389328,389755
Africa,Cameroon,1997,40.8,13.8,0,2.7,2.7,14606562,596240,201278,-146,394961,394815
Africa,CentralAfricanRepublic,1988,42.9,14.5,-0.4,2.84,2.8,2917175,125088,42299,-1138,82789,81652
Africa,CentralAfricanRepublic,1989,42.5,14.3,-0.2,2.82,2.8,2999869,127524,43018,-660,84506,83846
Africa,CentralAfricanRepublic,1990,42.2,14.7,0.6,2.74,2.8,3084970,130062,45442,1789,84621,86410
Africa,CentralAfricanRepublic,1991,41.8,15.1,2.5,2.67,2.92,3174488,132694,48062,7936,84632,92568
Africa,CentralAfricanRepublic,1992,41.4,15.6,2.1,2.59,2.8,3266519,135332,50827,6827,84505,91332
Africa,CentralAfricanRepublic,1993,41.1,16,7.5,2.51,3.25,3367026,138216,53839,25084,84378,109462
Africa,CentralAfricanRepublic,1994,40.7,16.5,1.1,2.42,2.53,3465853,141026,57048,3708,83978,87686
Africa,CentralAfricanRepublic,1995,40.5,17,-3.9,2.35,1.96,3544408,143584,60184,-13930,83400,69470
Africa,CentralAfricanRepublic,1996,40.3,17.5,0.8,2.28,2.36,3621608,146059,63523,2716,82536,85253
Africa,CentralAfricanRepublic,1997,40.2,17.6,0.7,2.26,2.33,3707380,148851,65139,2484,83713,86197
Africa,Chad,1988,(NA),(NA),(NA),(NA),(NA),5756955,(NA),(NA),(NA),(NA),(NA)
Africa,Chad,1989,(NA),(NA),(NA),(NA),(NA),5926782,(NA),(NA),(NA),(NA),(NA)
Africa,Chad,1990,(NA),(NA),(NA),(NA),(NA),6063627,(NA),(NA),(NA),(NA),(NA)
Africa,Chad,1991,(NA),(NA),(NA),(NA),(NA),6263387,(NA),(NA),(NA),(NA),(NA)
Africa,Chad,1992,(NA),(NA),(NA),(NA),(NA),6513684,(NA),(NA),(NA),(NA),(NA)
Africa,Chad,1993,47.8,18.7,-23.1,2.91,0.6,6447177,308175,120627,-148865,187548,38683
Africa,Chad,1994,47.7,18.3,-0.2,2.94,2.92,6562311,313088,120156,-1312,192932,191619
Africa,Chad,1995,48,17.9,22,3.01,5.21,6836086,328269,122366,150052,205903,355955
Africa,Chad,1996,48.4,17.5,-0.1,3.08,3.07,7123406,344417,124731,-997,219686,218689
Africa,Chad,1997,48.7,17.3,0.2,3.15,3.17,7349150,358198,126773,1323,231425,232748
Africa,Comoros,1988,41.4,13.2,-4.8,2.81,2.33,410930,16996,5441,-1977,11555,9579
Africa,Comoros,1989,40.7,12.9,-4.7,2.79,2.32,420594,17127,5405,-1977,11722,9745
Africa,Comoros,1990,40.1,12.5,-4.6,2.76,2.31,430431,17273,5376,-1976,11897,9921
Africa,Comoros,1991,39.7,12.2,-4.5,2.75,2.31,440471,17478,5352,-1973,12126,10153
Africa,Comoros,1992,39.3,11.9,-4.4,2.74,2.3,450727,17691,5359,-1974,12332,10358
Africa,Comoros,1993,38.8,11.6,-4.3,2.72,2.29,461184,17903,5368,-1974,12535,10561
Africa,Comoros,1994,38.4,11.4,-4.2,2.7,2.28,471836,18109,5384,-1977,12725,10748
Africa,Comoros,1995,38,11.2,-4.1,2.68,2.27,482682,18318,5401,-1974,12917,10942
Africa,Comoros,1996,38.5,11,-4,2.75,2.35,493950,19017,5448,-1976,13569,11593
Africa,Comoros,1997,38.9,10.9,-3.9,2.8,2.41,505845,19693,5524,-1973,14169,12196
Africa,Congo(Brazzaville),1988,39.3,10.7,0,2.86,2.86,2097281,82381,22420,0,59961,59961
Africa,Congo(Brazzaville),1989,39.5,10.8,0,2.87,2.87,2158239,85315,23374,0,61941,61941
Africa,Congo(Brazzaville),1990,39.6,11,0,2.86,2.86,2220993,87907,24364,0,63543,63543
Africa,Congo(Brazzaville),1991,39.6,11.2,0.9,2.84,2.93,2286231,90535,25606,1989,64929,66918
Africa,Congo(Brazzaville),1992,39.6,11.4,0,2.82,2.82,2352825,93148,26869,0,66279,66279
Africa,Congo(Brazzaville),1993,39.6,11.7,4.2,2.79,3.21,2424881,95904,28250,10209,67654,77863
Africa,Congo(Brazzaville),1994,39,11.9,0.8,2.71,2.79,2498635,97397,29634,1899,67763,69662
Africa,Congo(Brazzaville),1995,38.3,12.1,1.4,2.63,2.77,2569044,98446,30983,3699,67463,71163
Africa,Congo(Brazzaville),1996,37.7,12.3,0.4,2.54,2.58,2638692,99347,32324,1108,67023,68131
Africa,Congo(Brazzaville),1997,37,12.5,-7.7,2.46,1.69,2695515,99761,33559,-20702,66202,45500
Africa,Congo(Kinshasa),1988,48.4,16.3,0.4,3.21,3.24,36669267,1774059,598442,13568,1175617,1189184
Africa,Congo(Kinshasa),1989,48.4,16.1,-0.2,3.23,3.21,37872107,1833010,609362,-7196,1223648,1216452
Africa,Congo(Kinshasa),1990,48.4,15.9,1.7,3.25,3.43,39151065,1895303,621327,67731,1273976,1341707
Africa,Congo(Kinshasa),1991,48.4,15.6,1.4,3.28,3.42,40514176,1961291,633642,57125,1327650,1384775
Africa,Congo(Kinshasa),1992,48.4,15.4,-2.4,3.3,3.06,41846148,2025772,644849,-101268,1380923,1279655
Africa,Congo(Kinshasa),1993,48.4,15.2,3.9,3.32,3.72,43290020,2095670,658008,170563,1437662,1608224
Africa,Congo(Kinshasa),1994,48.4,16.4,12.6,3.21,4.46,44820303,2170647,734157,562943,1436491,1999434
Africa,Congo(Kinshasa),1995,48,14.6,-7.3,3.34,2.62,46704580,2242754,681887,-339542,1560867,1221325
Africa,Congo(Kinshasa),1996,47.6,14.3,-17.8,3.33,1.55,47684709,2268838,683322,-846404,1585517,739113
Africa,Congo(Kinshasa),1997,46.8,19.3,-16.6,2.75,1.09,48288928,2260405,932459,-799665,1327946,528281
Africa,Coted'Ivoire,1988,44.6,13.6,12.5,3.1,4.35,10653235,474921,144777,132952,330144,463096
Africa,Coted'Ivoire,1989,44.6,13.3,11.5,3.13,4.28,11122580,496178,148375,127798,347803,475602
Africa,Coted'Ivoire,1990,43.7,13.2,56.2,3.05,8.67,11874840,518456,156154,666772,362301,1029074
Africa,Coted'Ivoire,1991,42.7,13.1,2.7,2.96,3.23,12592372,537820,165086,33370,372734,406104
Africa,Coted'Ivoire,1992,41.7,13.1,0,2.86,2.86,12981058,541310,170311,130,370999,371128
Africa,Coted'Ivoire,1993,40.7,13.1,19.4,2.75,4.7,13483196,548227,176900,261709,371327,633036
Africa,Coted'Ivoire,1994,40.5,13.2,20.8,2.74,4.82,14140234,573245,186085,293975,387160,681135
Africa,Coted'Ivoire,1995,40.4,13.3,-0.7,2.71,2.64,14674543,592411,194438,-10419,397974,387555
Africa,Coted'Ivoire,1996,40.1,13.4,4.3,2.68,3.11,15103191,606242,201779,65397,404463,469860
Africa,Coted'Ivoire,1997,39.9,13.5,-5.6,2.64,2.09,15499773,617976,208472,-86024,409504,323480
Africa,Djibouti,1988,42.5,12.4,-21,3.01,0.9,417145,17716,5177,-8777,12539,3763
Africa,Djibouti,1989,42.5,12.2,75.6,3.04,10.6,442446,18813,5380,33449,13433,46882
Africa,Djibouti,1990,43.1,11.9,100.1,3.12,13.13,499189,21510,5930,49954,15580,65534
Africa,Djibouti,1991,43,11.6,39,3.14,7.03,551981,23724,6414,21500,17310,38810
Africa,Djibouti,1992,42,11.4,-119.2,3.06,-8.87,547085,22983,6259,-65223,16724,-48499
Africa,Djibouti,1993,40.9,11.2,16.6,2.97,4.63,534434,21858,5996,8888,15862,24750
Africa,Djibouti,1994,40.2,11,-28.9,2.91,0.03,546892,21958,6021,-15778,15936,159
Africa,Djibouti,1995,39.3,10.8,-5.8,2.85,2.28,553027,21739,5984,-3180,15756,12576
Africa,Djibouti,1996,38.4,10.6,4.6,2.78,3.24,568430,21799,6025,2632,15774,18406
Africa,Djibouti,1997,37.5,10.4,23,2.72,5.01,592487,22242,6156,13598,16086,29684
Africa,Egypt,1988,(NA),(NA),(NA),(NA),(NA),53277807,(NA),(NA),(NA),(NA),(NA)
Africa,Egypt,1989,(NA),(NA),(NA),(NA),(NA),54124464,(NA),(NA),(NA),(NA),(NA)
Africa,Egypt,1990,(NA),(NA),(NA),(NA),(NA),55146417,(NA),(NA),(NA),(NA),(NA)
Africa,Egypt,1991,(NA),(NA),(NA),(NA),(NA),56165811,(NA),(NA),(NA),(NA),(NA)
Africa,Egypt,1992,(NA),(NA),(NA),(NA),(NA),56995165,(NA),(NA),(NA),(NA),(NA)
Africa,Egypt,1993,(NA),(NA),(NA),(NA),(NA),57822207,(NA),(NA),(NA),(NA),(NA)
Africa,Egypt,1994,(NA),(NA),(NA),(NA),(NA),58664429,(NA),(NA),(NA),(NA),(NA)
Africa,Egypt,1995,(NA),(NA),(NA),(NA),(NA),59523990,(NA),(NA),(NA),(NA),(NA)
Africa,Egypt,1996,27.6,6.8,-0.6,2.08,2.02,60410338,1664909,408978,-36246,1255931,1219685
Africa,Egypt,1997,27.4,6.6,-0.6,2.08,2.02,61642311,1685917,404374,-36369,1281544,1245175
Africa,EquatorialGuinea,1988,42.3,15.6,0,2.66,2.66,351649,14861,5500,0,9361,9361
Africa,EquatorialGuinea,1989,42.2,15.2,0,2.69,2.69,361192,15224,5501,0,9723,9723
Africa,EquatorialGuinea,1990,42,14.8,0,2.72,2.72,371100,15597,5503,0,10094,10094
Africa,EquatorialGuinea,1991,41.9,14.5,0,2.74,2.74,381377,15972,5511,0,10461,10461
Africa,EquatorialGuinea,1992,41.7,14.1,0,2.76,2.76,392024,16347,5516,0,10832,10832
Africa,EquatorialGuinea,1993,41.5,13.7,0,2.78,2.78,403044,16730,5522,0,11209,11209
Africa,EquatorialGuinea,1994,41.3,13.4,0,2.8,2.8,414443,17125,5533,0,11592,11592
Africa,EquatorialGuinea,1995,41.1,13,0,2.81,2.81,426231,17531,5545,0,11986,11986
Africa,EquatorialGuinea,1996,41,12.7,0,2.83,2.83,438420,17958,5564,0,12394,12394
Africa,EquatorialGuinea,1997,40.8,12.4,0,2.84,2.84,451026,18402,5584,0,12818,12818
Africa,Eritrea,1988,42.8,14.9,0,2.78,2.78,2890943,123588,43191,0,80397,80397
Africa,Eritrea,1989,43,14.5,0,2.85,2.85,2973468,127740,43086,0,84655,84655
Africa,Eritrea,1990,43.2,14.1,0,2.91,2.91,3060332,132145,43059,0,89086,89086
Africa,Eritrea,1991,40.8,13.6,-96.1,2.72,-6.9,3001349,122365,40878,-288550,81487,-207063
Africa,Eritrea,1992,38.5,13.3,-1,2.53,2.42,2933383,112965,38867,-2992,74097,71105
Africa,Eritrea,1993,39.5,12.7,28.6,2.68,5.54,3053544,120707,38902,87392,81804,169197
Africa,Eritrea,1994,39.9,12.1,2,2.78,2.98,3185537,127198,38672,6212,88526,94738
Africa,Eritrea,1995,41.2,11.7,46.9,2.96,7.65,3361437,138592,39161,157618,99431,257049
Africa,Eritrea,1996,42.4,11.2,-14.9,3.12,1.63,3518610,149084,39303,-52427,109781,57353
Africa,Eritrea,1997,43.2,10.8,4.3,3.24,3.67,3613539,156069,39135,15610,116934,132545
Africa,Eswatini,1988,41.6,8.2,25.2,3.34,5.85,815127,33893,6684,20500,27209,47709
Africa,Eswatini,1989,40.6,7.8,-9.1,3.29,2.38,849082,34498,6606,-7701,27892,20191
Africa,Eswatini,1990,39.7,7.4,18.1,3.23,5.03,881354,34999,6557,15908,28441,44350
Africa,Eswatini,1991,38.9,7.8,7.9,3.1,3.9,921478,35809,7215,7307,28593,35901
Africa,Eswatini,1992,38,8.3,6.4,2.97,3.61,956680,36335,7931,6104,28404,34507
Africa,Eswatini,1993,37.1,8.8,-7.2,2.83,2.11,984309,36508,8652,-7107,27856,20749
Africa,Eswatini,1994,36.2,9.4,-40.5,2.69,-1.36,987944,35793,9247,-40022,26546,-13476
Africa,Eswatini,1995,35.4,10.1,0,2.53,2.53,993789,35160,9988,0,25173,25173
Africa,Eswatini,1996,34.6,10.8,0,2.38,2.38,1018491,35230,11000,0,24230,24230
Africa,Eswatini,1997,34.5,11.6,-21,2.29,0.19,1031563,35589,11997,-21683,23592,1908
Africa,Ethiopia,1988,46.2,17.6,7.5,2.87,3.62,44596107,2061678,783108,334917,1278570,1613487
Africa,Ethiopia,1989,46,17.4,1.4,2.86,3,46093687,2120310,802952,63609,1317358,1380967
Africa,Ethiopia,1990,45.8,17.3,3.9,2.85,3.24,47554116,2176552,822211,184986,1354341,1539327
Africa,Ethiopia,1991,45.6,17.2,17.1,2.84,4.55,49447575,2252337,848520,843576,1403817,2247392
Africa,Ethiopia,1992,45.4,17,-3.6,2.84,2.48,51205192,2322668,869464,-184851,1453203,1268353
Africa,Ethiopia,1993,45.2,16.9,-2.2,2.83,2.61,52525039,2372031,886097,-113979,1485933,1371954
Africa,Ethiopia,1994,45,16.7,2.1,2.82,3.03,54030146,2429736,904465,112923,1525271,1638194
Africa,Ethiopia,1995,44.8,16.6,3.2,2.82,3.15,55725462,2496501,925043,180550,1571458,1752009
Africa,Ethiopia,1996,44.7,16,0,2.87,2.86,57424029,2563983,917636,-1723,1646347,1644624
Africa,Ethiopia,1997,44.5,15.4,-1,2.91,2.81,59076269,2628894,910956,-58486,1717938,1659452
Africa,Gabon,1988,(NA),(NA),(NA),(NA),(NA),913719,(NA),(NA),(NA),(NA),(NA)
Africa,Gabon,1989,(NA),(NA),(NA),(NA),(NA),933865,(NA),(NA),(NA),(NA),(NA)
Africa,Gabon,1990,(NA),(NA),(NA),(NA),(NA),954203,(NA),(NA),(NA),(NA),(NA)
Africa,Gabon,1991,(NA),(NA),(NA),(NA),(NA),977721,(NA),(NA),(NA),(NA),(NA)
Africa,Gabon,1992,(NA),(NA),(NA),(NA),(NA),986367,(NA),(NA),(NA),(NA),(NA)
Africa,Gabon,1993,38.8,10.6,-0.5,2.82,2.77,1033079,40073,10982,-496,29092,28596
Africa,Gabon,1994,38.2,10.6,-23.3,2.76,0.43,1049633,40075,11158,-24404,28917,4513
Africa,Gabon,1995,37.7,10.7,-13,2.7,1.39,1059272,39903,11324,-13813,28579,14766
Africa,Gabon,1996,36.7,10.7,-2.8,2.6,2.33,1079210,39639,11548,-2989,28092,25102
Africa,Gabon,1997,35.6,10.7,-2,2.5,2.3,1104453,39341,11785,-2176,27556,25380
Africa,"Gambia,The",1988,47.9,15.8,9.2,3.22,4.14,875080,41925,13791,8059,28134,36193
Africa,"Gambia,The",1989,47.7,15.1,8.8,3.26,4.14,912247,43478,13766,8064,29712,37776
Africa,"Gambia,The",1990,47.5,14.5,8.5,3.3,4.15,951025,45145,13771,8065,31374,39439
Africa,"Gambia,The",1991,47.3,13.9,8.1,3.34,4.15,991493,46908,13792,8061,33116,41177
Africa,"Gambia,The",1992,47.2,13.4,7.8,3.38,4.16,1033734,48761,13842,8063,34920,42983
Africa,"Gambia,The",1993,47.1,12.9,5.9,3.41,4,1076885,50667,13903,6311,36765,43075
Africa,"Gambia,The",1994,46.2,12.4,4.1,3.38,3.78,1119592,51692,13905,4557,37786,42343
Africa,"Gambia,The",1995,45.3,11.9,2.4,3.34,3.58,1161456,52637,13868,2811,38769,41580
Africa,"Gambia,The",1996,44.5,11.5,0.9,3.3,3.39,1202416,53508,13804,1058,39704,40762
Africa,"Gambia,The",1997,43.7,11,-0.6,3.27,3.22,1242460,54308,13655,-696,40653,39958
Africa,Ghana,1988,40.3,12.2,-4.4,2.81,2.37,14850715,598038,181327,-64898,416711,351813
Africa,Ghana,1989,39.5,11.9,-4.7,2.77,2.3,15201278,601059,180439,-71446,420619,349173
Africa,Ghana,1990,38.8,11.6,-5,2.73,2.22,15548811,603294,179589,-77900,423705,345806
Africa,Ghana,1991,38.1,11.3,-5.3,2.68,2.15,15892340,604704,178948,-84547,425756,341209
Africa,Ghana,1992,37.3,11,-5.4,2.63,2.1,16233043,605493,178563,-86847,426929,340082
Africa,Ghana,1993,36.5,10.8,2.4,2.58,2.82,16637953,607951,178858,40597,429093,469689
Africa,Ghana,1994,35.8,10.5,-7.7,2.53,1.75,17022080,608710,178902,-131240,429808,298567
Africa,Ghana,1995,35.7,10.6,-7.8,2.52,1.73,17321469,619069,183088,-135800,435981,300181
Africa,Ghana,1996,35.7,10.7,-8.5,2.5,1.65,17617186,628934,187799,-149922,441134,291212
Africa,Ghana,1997,35.7,10.8,-6.5,2.49,1.84,17927437,639292,192720,-117245,446572,329327
Africa,Guinea,1988,42.9,20.7,0,2.21,2.21,5397044,231425,111935,0,119491,119491
Africa,Guinea,1989,42.7,20.4,0,2.23,2.23,5518192,235572,112792,0,122780,122780
Africa,Guinea,1990,42.4,20.2,56,2.22,7.82,5806512,246254,117408,324990,128847,453837
Africa,Guinea,1991,42.1,19.6,35.9,2.26,5.84,6215029,261839,121690,222995,140149,363144
Africa,Guinea,1992,42,19,-10.8,2.3,1.22,6435916,270244,122154,-69508,148090,78583
Africa,Guinea,1993,41.8,18.5,15,2.33,3.83,6601538,276142,122128,98693,154014,252707
Africa,Guinea,1994,41.7,17.9,-3.5,2.37,2.02,6796459,283140,121928,-23992,161212,137221
Africa,Guinea,1995,41.5,17.5,17,2.4,4.1,7008664,290579,122441,119077,168138,287215
Africa,Guinea,1996,41.3,17,-1.2,2.43,2.32,7236079,298778,122724,-8466,176054,167588
Africa,Guinea,1997,41.2,16.5,-31.3,2.47,-0.66,7295772,300513,120161,-228577,180351,-48225
Africa,Guinea-Bissau,1988,43.7,19.9,0,2.38,2.38,950432,41524,18942,0,22582,22582
Africa,Guinea-Bissau,1989,43.5,19.5,-2.6,2.4,2.14,972126,42258,18966,-2489,23292,20803
Africa,Guinea-Bissau,1990,43.3,19.1,-2,2.42,2.22,993559,43041,18997,-1987,24044,22057
Africa,Guinea-Bissau,1991,43,18.7,-5.8,2.44,1.86,1014019,43623,18911,-5851,24712,18861
Africa,Guinea-Bissau,1992,42.8,18.2,0.1,2.46,2.47,1036220,44340,18859,52,25481,25532
Africa,Guinea-Bissau,1993,42.7,17.8,1,2.49,2.59,1062762,45327,18875,1095,26452,27547
Africa,Guinea-Bissau,1994,42.6,17.4,-4,2.52,2.13,1088105,46332,18879,-4309,27453,23144
Africa,Guinea-Bissau,1995,42.5,17,-14.5,2.56,1.1,1105764,47006,18754,-16078,28252,12174
Africa,Guinea-Bissau,1996,42.4,16.6,-6.6,2.58,1.93,1122655,47634,18647,-7376,28987,21611
Africa,Guinea-Bissau,1997,42.4,16.3,-6.1,2.61,2,1144911,48487,18605,-6984,29882,22898
Africa,Kenya,1988,41.7,8.8,0,3.29,3.29,21918734,913573,192446,0,721126,721126
Africa,Kenya,1989,40.6,8.8,0,3.18,3.18,22638926,918461,199223,0,719239,719239
Africa,Kenya,1990,39.7,8.9,0.2,3.08,3.1,23360942,926729,207445,5607,719283,724890
Africa,Kenya,1991,38.8,9,4.2,2.97,3.39,24132867,935390,218161,100393,717229,817622
Africa,Kenya,1992,37.9,9.3,10.9,2.86,3.95,25039576,947748,231866,273432,715881,989314
Africa,Kenya,1993,37,9.6,-3.8,2.74,2.37,25844500,955988,247073,-97434,708915,611481
Africa,Kenya,1994,36.6,9.9,-1,2.66,2.56,26487165,968106,263018,-27547,705088,677542
Africa,Kenya,1995,36.1,10.4,-0.9,2.57,2.49,27163001,980856,281952,-23903,698904,675001
Africa,Kenya,1996,35.7,10.9,-0.6,2.48,2.42,27836550,992373,302305,-16980,690068,673088
