Region,Country,Year,"Births per 1,000 population","Deaths per 1,000 population","Net Number of Migrants per 1,000 population",Rate of natural increase (percent),Growth rate (percent),Population,Births,Deaths,Net Number of Migrants,Natural Increase,Population Change
Africa,Algeria,1988,33.7,5.7,0,2.8,2.8,23917674,806026,136809,0,669217,669217
Africa,Algeria,1989,30.7,5.3,-0.2,2.54,2.52,24561722,755027,131160,-4912,623868,618955
Africa,Algeria,1990,30.8,5.2,-0.2,2.56,2.53,25190449,775110,130990,-5542,644120,638578
Africa,Algeria,1991,29.9,5.2,-0.3,2.48,2.45,25825978,772972,133262,-6973,639709,632736
Africa,Algeria,1992,30.2,5.2,1.6,2.49,2.65,26493629,799048,138297,41860,660751,702611
Africa,Algeria,1993,28.5,5.4,-0.3,2.32,2.28,27154754,774997,146364,-8961,628633,619671
Africa,Algeria,1994,28,5.6,-1.2,2.23,2.12,27758508,776128,156280,-31922,619847,587925
Africa,Algeria,1995,25.1,5.5,-0.6,1.96,1.9,28321697,710875,155769,-16710,555105,538395
Africa,Algeria,1996,22.7,5.1,-0.4,1.75,1.71,28837598,654037,148225,-12400,505811,493411
Africa,Algeria,1997,22.3,5.2,-1.2,1.71,1.6,29318183,654089,152455,-33716,501634,467918
Africa,Angola,1988,50.8,16.6,-2.6,3.42,3.16,10424712,529888,173467,-27313,356421,329108
Africa,Angola,1989,50.6,16.2,-2.4,3.44,3.21,10761767,544653,174341,-25398,370312,344915
Africa,Angola,1990,50.4,15.8,-0.3,3.46,3.43,11125154,561042,175666,-3449,385375,381927
Africa,Angola,1991,50.3,15.8,0,3.45,3.45,11514904,578624,181475,461,397149,397610
Africa,Angola,1992,50.1,15.7,2.3,3.44,3.67,11932712,597710,187582,27803,410127,437931
Africa,Angola,1993,49.9,15.7,4.6,3.43,3.89,12392463,618756,194314,57129,424442,481571
Africa,Angola,1994,49.8,15.6,3.2,3.42,3.74,12873711,640982,201345,41196,439637,480833
Africa,Angola,1995,49.7,15.6,2.8,3.41,3.69,13360649,663623,208426,37811,455197,493008
Africa,Angola,1996,49.6,15.6,-1.9,3.4,3.21,13828835,685219,215315,-26413,469904,443491
Africa,Angola,1997,49.3,15.5,-1.3,3.38,3.25,14282706,704709,221953,-18425,482755,464331
Africa,Benin,1988,47.9,16.9,-0.1,3.1,3.08,4422114,211863,74911,-575,136953,136378
Africa,Benin,1989,47.7,16.6,0,3.11,3.11,4561161,217567,75715,-91,141852,141761
Africa,Benin,1990,47.5,16.3,0,3.12,3.12,4705442,223556,76652,-141,146904,146763
Africa,Benin,1991,47.4,16,0,3.14,3.14,4855063,230130,77681,0,152449,152449
Africa,Benin,1992,46.9,15.4,0,3.15,3.15,5010143,234926,77006,-50,157920,157870
Africa,Benin,1993,46.7,14.7,29.7,3.2,6.16,5250360,245034,77285,155883,167749,323632
Africa,Benin,1994,46.4,14.2,-4.7,3.22,2.75,5488151,254486,77877,-25739,176609,150869
Africa,Benin,1995,45.8,13.8,-2.5,3.2,2.95,5646826,258342,77644,-14004,180698,166694
Africa,Benin,1996,45.2,13.3,-0.9,3.19,3.1,5820226,262900,77409,-5355,185491,180136
Africa,Benin,1997,45,12.9,-0.2,3.21,3.2,6006230,270400,77540,-901,192860,191959
Africa,Botswana,1988,35.9,8.8,3.5,2.71,3.06,1183187,42453,10388,4153,32064,36217
Africa,Botswana,1989,35.5,8.6,3.4,2.69,3.03,1219773,43241,10441,4159,32800,36959
Africa,Botswana,1990,35,8.4,3.3,2.66,3,1257071,44010,10522,4161,33488,37649
Africa,Botswana,1991,34.6,8.6,3.2,2.59,2.92,1294763,44773,11187,4156,33586,37742
Africa,Botswana,1992,34.1,9,7.5,2.51,3.26,1335381,45536,12005,9962,33531,43493
Africa,Botswana,1993,33.6,9.5,7.2,2.42,3.14,1378761,46340,13029,9955,33311,43266
Africa,Botswana,1994,33.1,10,7,2.31,3.01,1421785,47104,14275,9967,32829,42796
Africa,Botswana,1995,32.7,10.8,6.8,2.19,2.87,1464188,47835,15769,9956,32066,42022
Africa,Botswana,1996,32.2,11.6,6.6,2.06,2.72,1505674,48513,17526,9968,30987,40954
Africa,Botswana,1997,31.8,12.7,6.4,1.91,2.55,1545888,49097,19586,9956,29511,39467
Africa,BurkinaFaso,1988,(NA),(NA),(NA),(NA),(NA),7843764,(NA),(NA),(NA),(NA),(NA)
Africa,BurkinaFaso,1989,(NA),(NA),(NA),(NA),(NA),8105692,(NA),(NA),(NA),(NA),(NA)
Africa,BurkinaFaso,1990,(NA),(NA),(NA),(NA),(NA),8379321,(NA),(NA),(NA),(NA),(NA)
Africa,BurkinaFaso,1991,(NA),(NA),(NA),(NA),(NA),8664927,(NA),(NA),(NA),(NA),(NA)
Africa,BurkinaFaso,1992,(NA),(NA),(NA),(NA),(NA),8962333,(NA),(NA),(NA),(NA),(NA)
Africa,BurkinaFaso,1993,(NA),(NA),(NA),(NA),(NA),9270044,(NA),(NA),(NA),(NA),(NA)
Africa,BurkinaFaso,1994,(NA),(NA),(NA),(NA),(NA),9608349,(NA),(NA),(NA),(NA),(NA)
Africa,BurkinaFaso,1995,(NA),(NA),(NA),(NA),(NA),9946133,(NA),(NA),(NA),(NA),(NA)
Africa,BurkinaFaso,1996,49.4,18.4,-7.3,3.1,2.37,10291856,507903,188958,-74822,318945,244123
Africa,BurkinaFaso,1997,49.2,17.6,-9.5,3.16,2.21,10530454,518098,185020,-100039,333078,233039
Africa,Burundi,1988,46.4,16,-8,3.05,2.25,5260596,244302,84064,-41980,160238,118258
Africa,Burundi,1989,46.2,15.8,-7.4,3.04,2.31,5381778,248584,84871,-39610,163714,124104
Africa,Burundi,1990,45.9,15.6,-6.8,3.04,2.36,5508757,252962,85716,-37404,167246,129841
Africa,Burundi,1991,45.7,15.4,-5.5,3.02,2.47,5643309,257617,87133,-31207,170484,139277
Africa,Burundi,1992,45.4,15.3,7,3.01,3.71,5820913,264211,89293,40979,174918,215898
Africa,Burundi,1993,45.4,24.1,-120.8,2.13,-9.95,5647937,256303,135889,-682327,120414,-561913
Africa,Burundi,1994,45.3,19,36.1,2.62,6.23,5539656,250669,105309,199982,145361,345342
Africa,Burundi,1995,45,15.1,0,2.99,2.99,5799090,261075,87566,0,173509,173509
Africa,Burundi,1996,44.8,15.1,0,2.96,2.96,5974357,267472,90452,0,177020,177020
Africa,Burundi,1997,44.6,15.1,0,2.94,2.94,6153366,274194,93162,0,181032,181032
Africa,CaboVerde,1988,39.9,9.3,-16.4,3.06,1.42,330500,13174,3070,-5427,10103,4677
Africa,CaboVerde,1989,39.2,9.1,-16.2,3.01,1.39,335166,13125,3043,-5426,10082,4655
Africa,CaboVerde,1990,38.2,8.9,-16,2.93,1.33,339756,12962,3010,-5426,9951,4526
Africa,CaboVerde,1991,37.3,8.6,-1,2.87,2.77,346826,12950,2997,-343,9954,9611
Africa,CaboVerde,1992,36.6,8.4,-1,2.82,2.73,356492,13055,2995,-342,10060,9718
Africa,CaboVerde,1993,35.8,8.2,-0.9,2.76,2.67,366241,13115,2992,-344,10123,9779
Africa,CaboVerde,1994,34.5,8.1,-0.9,2.64,2.55,375918,12958,3041,-342,9917,9575
Africa,CaboVerde,1995,33.4,8,-0.9,2.54,2.45,385425,12865,3080,-343,9786,9443
Africa,CaboVerde,1996,32.4,7.9,-0.9,2.44,2.36,394798,12772,3123,-343,9649,9305
Africa,CaboVerde,1997,31.2,7.8,-0.9,2.34,2.25,404001,12609,3163,-343,9446,9102
Africa,Cameroon,1988,44.7,13.7,-0.7,3.1,3.02,11282275,503979,154567,-8236,349412,341176
Africa,Cameroon,1989,44,13.6,-0.2,3.04,3.02,11628238,511759,158260,-2674,353498,350824
