Region,Country,Year,"Births per 1,000 population","Deaths per 1,000 population","Net Number of Migrants per 1,000 population",Rate of natural increase (percent),Growth rate (percent),Population,Births,Deaths,Net Number of Migrants,Natural Increase,Population Change
World,Djibouti,2009,26.3,8.5,3.8,1.78,2.16,724622,19087,6181,2775,12906,15681
World,Dominica,2009,15.7,8.2,-5.5,0.75,0.21,72660,1143,596,-396,547,151
World,DominicanRepublic,2009,21,6.4,-2.3,1.46,1.23,9319152,195795,60015,-21434,135780,114346
World,Ecuador,2009,20.8,5,-0.8,1.58,1.5,14573101,302683,72720,-11804,229964,218159
World,Egypt,2009,29.4,5.3,-0.8,2.41,2.34,79317792,2334323,422764,-59488,1911559,1852070
World,ElSalvador,2009,18.7,5.6,-9.3,1.31,0.38,6030596,112832,33892,-56145,78941,22796
World,EquatorialGuinea,2009,36.5,9.5,0,2.7,2.7,633441,23133,6011,0,17122,17122
World,Eritrea,2009,35.3,8.4,-5,2.69,2.2,5243580,185256,44151,-26061,141105,115044
World,Estonia,2009,12.1,12.3,-2.8,-0.02,-0.3,1307409,15767,16081,-3595,-314,-3909
World,Eswatini,2009,31.7,14.8,-15.7,1.69,0.12,1017183,32255,15044,-15990,17211,1221
World,Ethiopia,2009,39.9,10.5,0.2,2.93,2.95,83548430,3331911,880600,15874,2451311,2467185
World,FaroeIslands,2009,13,8.7,-0.4,0.44,0.4,48856,637,423,-20,214,194
World,Fiji,2009,22.3,5.9,-7.5,1.64,0.89,868498,19350,5089,-6522,14261,7738
World,Finland,2009,11.3,9.4,2.7,0.2,0.47,5330210,60445,49891,14551,10554,25105
World,France,2009,12.9,8.5,1,0.44,0.54,64579931,832435,548929,67163,283506,350669
World,FrenchPolynesia,2009,16.6,4.6,-1.1,1.2,1.1,265923,4409,1210,-279,3199,2920
World,Gabon,2009,30.4,8.8,14.9,2.17,3.66,1568721,47720,13742,23421,33978,57400
World,"Gambia,The",2009,35.7,8,-2.9,2.78,2.49,1713278,61198,13655,-4883,47543,42661
World,GazaStrip,2009,39.6,3.7,-6.2,3.59,2.97,1459418,57808,5400,-9092,52408,43316
World,Georgia,2009,14.8,10.3,7,0.45,1.16,4855888,71819,49773,34185,22046,56231
World,Germany,2009,8.3,10.7,-0.2,-0.24,-0.26,81837700,678435,875663,-13094,-197229,-210323
World,Ghana,2009,32.8,8.2,-2.4,2.46,2.22,23051965,756796,189487,-54633,567309,512676
World,Gibraltar,2009,14,7.8,-3.3,0.63,0.29,28796,404,224,-96,180,84
World,Greece,2009,9.5,10.5,2.3,-0.11,0.13,10737428,101469,112850,25018,-11382,13637
World,Greenland,2009,14.8,8.1,-6,0.66,0.06,57600,850,469,-345,381,36
World,Grenada,2009,17.5,7.8,-3.8,0.97,0.59,107199,1871,834,-406,1037,630
World,Guam,2009,21,5.4,-11.4,1.57,0.43,162660,3417,870,-1853,2547,695
World,Guatemala,2009,29.2,5.5,-2,2.37,2.17,13902647,405679,76465,-28083,329215,301131
World,Guernsey,2009,10.4,8,2.9,0.24,0.53,64454,670,516,185,154,339
World,Guinea,2009,37.6,11.4,-0.7,2.62,2.55,9327011,350416,106328,-6156,244088,237932
World,Guinea-Bissau,2009,40.3,11.7,-5.1,2.86,2.36,1481090,59703,17284,-7480,42418,34939
World,Guyana,2009,18.2,7.4,-17.4,1.08,-0.66,750463,13643,5561,-13036,8082,-4953
World,Haiti,2009,27.2,9,-3.3,1.82,1.48,9651771,262528,86962,-32237,175566,143329
World,Honduras,2009,26.3,5,-1.3,2.13,2,7833696,205870,38855,-10184,167014,156831
World,HongKong,2009,9,6.3,-4.8,0.28,-0.2,7038760,63349,43992,-33575,19357,-14218
World,Hungary,2009,9.8,12.8,1.6,-0.3,-0.14,10007168,98070,128292,16112,-30222,-14110
World,Iceland,2009,15.8,6.3,-15.2,0.95,-0.57,318453,5025,2003,-4834,3022,-1812
World,India,2009,21.7,7.6,-0.1,1.41,1.41,1156897766,25127819,8792423,-57845,16335396,16277552
World,Indonesia,2009,18.9,6.3,-1.2,1.26,1.14,240714694,4544693,1504467,-298486,3040227,2741740
World,Iran,2009,18,5.4,0.7,1.27,1.34,74081610,1335691,397077,54820,938614,993434
World,Iraq,2009,34.8,3.8,4.2,3.1,3.52,29496529,1025889,111202,122706,914687,1037393
World,Ireland,2009,16.6,6.3,-1.7,1.03,0.86,4579996,75891,28671,-7878,47220,39342
World,IsleofMan,2009,11.7,10.1,8.3,0.16,1,83039,971,835,692,135,827
World,Israel,2009,21.6,5.1,1.9,1.65,1.84,7232112,156214,36811,13379,119402,132782
World,Italy,2009,9.4,9.8,5.3,-0.04,0.49,60461585,568944,591919,318028,-22975,295053
World,Jamaica,2009,18.7,7.3,-13,1.14,-0.16,2843554,53146,20730,-36852,32417,-4436
World,Japan,2009,8.9,9,-1,-0.01,-0.11,127704286,1130183,1142953,-123873,-12770,-136644
World,Jersey,2009,10.7,7.8,6.5,0.29,0.94,92528,985,719,600,266,866
World,Jordan,2009,27.9,3.8,-4.9,2.41,1.92,6655519,185689,25424,-32679,160265,127586
World,Kazakhstan,2009,21.4,8.6,0.4,1.27,1.32,16863280,360200,145361,7420,214838,222258
World,Kenya,2009,36.8,8.5,1,2.83,2.93,39707699,1462832,337515,38516,1125316,1163833
World,Kiribati,2009,23.8,7.6,-2.9,1.63,1.34,98193,2341,744,-284,1597,1313
World,"Korea,North",2009,14.7,9,0,0.57,0.57,24190924,355123,217960,484,137163,137646
World,"Korea,South",2009,9.1,5,0.4,0.4,0.45,49000481,444924,246962,20580,197962,218542
World,Kosovo,2009,18.8,7,-6.2,1.17,0.56,1804838,33859,12688,-11154,21171,10017
World,Kuwait,2009,22.1,2.2,2.2,1.99,2.21,2489004,54907,5426,5501,49481,54982
World,Kyrgyzstan,2009,25.3,7.2,-5.5,1.81,1.25,5358180,135508,38793,-29577,96715,67138
World,Laos,2009,27.2,8.4,-0.6,1.87,1.82,6256865,169874,52808,-3504,117066,113562
World,Latvia,2009,10.2,13.8,-16.6,-0.36,-2.02,2161153,22044,29889,-35875,-7845,-43720
World,Lebanon,2009,16.2,5.3,-2.3,1.09,0.86,4475008,72361,23762,-10069,48599,38530
World,Lesotho,2009,27.5,17.1,-8.9,1.04,0.15,1916134,52694,32785,-17130,19909,2778
World,Liberia,2009,41.2,9.9,-4.7,3.13,2.66,3708025,152734,36821,-17242,115913,98671
World,Libya,2009,19.8,3.6,1.8,1.62,1.8,6002252,118965,21608,10864,97357,108221
World,Liechtenstein,2009,11.3,6.4,2.9,0.49,0.78,35856,406,229,103,177,280
World,Lithuania,2009,10.2,13.3,-10.9,-0.31,-1.41,3158759,32156,42043,-34557,-9887,-44444
World,Luxembourg,2009,11.3,7.3,13.2,0.4,1.71,500087,5636,3656,6581,1980,8561
World,Macau,2009,8.9,3.5,14.6,0.54,2,559846,4971,1959,8151,3012,11163
World,Macedonia,2009,11.4,9.2,0.2,0.22,0.25,2074492,23691,19065,477,4626,5103
World,Madagascar,2009,35.3,7.7,0,2.76,2.76,20282443,715159,156175,0,558984,558984
World,Malawi,2009,43.5,11,1.5,3.25,3.4,14673498,637563,160822,22010,476742,498752
World,Malaysia,2009,21.8,4.9,-0.4,1.69,1.65,27817866,606986,136586,-11684,470400,458717
World,Maldives,2009,14.6,3.7,-12.6,1.09,-0.17,396334,5767,1447,-4986,4320,-666
World,Mali,2009,47.2,12.4,-3.5,3.48,3.13,14067464,663703,173733,-49658,489970,440312
World,Malta,2009,9.7,7.8,5.5,0.2,0.75,415142,4031,3222,2292,810,3101
World,MarshallIslands,2009,30.7,4.5,-5.4,2.62,2.08,64522,1981,290,-349,1691,1342
World,Mauritania,2009,34.1,9.2,-1,2.5,2.4,3129486,106747,28666,-3004,78081,75076
World,Mauritius,2009,14.4,6.6,-0.1,0.78,0.78,1284264,18506,8463,-77,10043,9966
World,Mexico,2009,20.3,5.2,-0.7,1.52,1.45,112426381,2283380,580120,-77574,1703260,1625685
World,"Micronesia,FederatedStatesof",2009,23.1,4.5,-21,1.86,-0.24,107434,2482,479,-2259,2003,-257
World,Moldova,2009,12.6,13.1,-10.2,-0.04,-1.06,3770698,47624,49208,-38348,-1584,-39932
World,Monaco,2009,7.1,7.8,-1.8,-0.07,-0.25,30652,218,239,-54,-21,-75
World,Mongolia,2009,22.2,6.5,-0.9,1.57,1.48,2741412,60777,17847,-2495,42931,40436
World,Montenegro,2009,13.9,9.4,-2.7,0.45,0.17,621968,8639,5859,-1698,2780,1082
World,Montserrat,2009,12,8.2,0,0.37,0.37,5098,61,42,0,19,19
World,Morocco,2009,19.7,4.7,-4,1.5,1.1,31285174,616944,148292,-124828,468652,343824
World,Mozambique,2009,40.2,13.6,-4.3,2.66,2.23,21921697,881910,297916,-94702,583994,489292
World,Namibia,2009,31,10.1,-7.2,2.09,1.38,2152941,66720,21659,-15458,45061,29603
World,Nauru,2009,28.4,6.2,-16.5,2.23,0.58,9213,262,57,-152,205,53
World,Nepal,2009,24.4,6.4,-5.6,1.81,1.25,26297989,642723,168044,-146217,474679,328462
World,Netherlands,2009,11.2,8.2,2.1,0.31,0.52,16490410,185187,134397,34465,50790,85255
World,NewCaledonia,2009,16.7,5.2,4.4,1.15,1.59,248406,4146,1279,1088,2867,3955
World,NewZealand,2009,13.9,7.1,2.5,0.69,0.94,4213418,58735,29705,10365,29030,39395
World,Nicaragua,2009,20.5,5,-3.8,1.55,1.17,5541165,113649,27817,-21223,85833,64610
World,Niger,2009,50.2,14.5,-0.7,3.57,3.5,14748785,740536,214152,-10177,526384,516207
World,Nigeria,2009,40.1,12.7,-0.3,2.74,2.71,161490795,6480626,2054163,-50062,4426463,4376401
World,NorthernMarianaIslands,2009,20.1,3.7,-67.4,1.64,-5.1,58115,1168,217,-3917,951,-2966
World,Norway,2009,12.8,8.6,8,0.42,1.22,4830658,61784,41447,38645,20337,58982
World,Oman,2009,23.5,3.5,-0.5,2,1.96,2909634,68464,10155,-1368,58309,56942
World,Pakistan,2009,26.1,7.2,-2.6,1.89,1.63,181457277,4737850,1308307,-464531,3429543,2965012
World,Palau,2009,11.2,7.9,1,0.33,0.43,20796,233,164,20,69,89
