bookkeeping,child_dialect_count,child_family_count,child_language_count,description,family_pk,father_pk,hid,id,jsondata,latitude,level,longitude,markup_description,name,newick,pk,status
False,3,0,0,,211,15271,bjv,bedj1245,{},8.60006,language,17.2691,,Nangnda,"('Bébote [bebo1242]':1,'Nuclear Bedjond [nucl1425]':1,'Yom {Bedjond} [yomm1243]':1)'Nangnda [bedj1245][bjv]-l-':1",17765,safe
False,0,0,0,,207,12382,bed,bedo1237,{},-2.74438,language,132.566,,Bedoanas,'Bedoanas [bedo1237][bed]-l-':1,15238,definitely endangered
False,0,0,0,,69,13694,bkf,beek1238,{},3.18438,language,29.9842,,Beeke,'Beeke [beek1238][bkf]-l-':1,16328,definitely endangered
False,0,0,0,,186,21940,bxq,beel1236,{},10.1609,language,10.4204,,Beele,'Beele [beel1236][bxq]-l-':1,22947,definitely endangered
False,2,0,0,,69,21510,beq,beem1239,{},-3.95895,language,14.1,,Beembe,"('Keenge [keen1240]':1,'Yari [yari1242]':1)'Beembe [beem1239][beq]-l-':1",22532,safe
False,0,0,0,,69,10931,bnz,beez1238,{},6.81552,language,10.109,,Beezen,'Beezen [beez1238][bnz]-l-':1,13753,definitely endangered
False,6,0,0,,69,8161,bby,befa1241,{},6.27562,language,10.0342,,Befang,"('Bangui [bang1355]':1,'Modele [mode1249]':1,'Nuclear Befang [nucl1410]':1,'Obang {Befang} [oban1245]':1,'Okomanjang [okom1242]':1,'Ushaku [usha1238]':1)'Befang [befa1241][bby]-l-':1",10909,vulnerable
False,3,0,0,,69,10951,bqv,begb1241,{},9.40519,language,7.59566,,Begbere-Ejar,"('Ejar [ejar1238]':1,'Koron Ache [koro1302]':1,'Koron Panda [koro1303]':1)'Begbere-Ejar [begb1241][bqv]-l-':1",13790,safe
False,6,0,0,,186,811,bej,beja1238,{},17.2436,language,36.6666,,Beja,"('Ababda [abab1239]':1,'Amara {Beja} [amar1281]':1,'Beni-Amir [beni1248]':1,'Bisharin [bish1251]':1,'Hadareb [hada1239]':1,'Hadendoa [hade1248]':1)'Beja [beja1238][bej]-l-':1",2590,safe
False,0,0,0,,207,6509,bei,beka1241,{},1.3307,language,109.576,,Riuk Bekati','Riuk Bekati'' [beka1241][bei]-l-':1,9339,vulnerable
False,0,0,0,,69,8159,bkv,bekw1241,{},6.73737,language,8.86489,,Bekwarra,'Bekwarra [bekw1241][bkv]-l-':1,10900,safe
False,1,0,0,,69,20154,bkw,bekw1242,{},1.71801,language,14.6527,,Bekwil,('Esel [esel1238]':1)'Bekwil [bekw1242][bkw]-l-':1,21488,safe
False,3,0,0,,179,4102,bel,bela1254,{},53.2307,language,25.6038,,Belarusian,"('Central Belarusan [cent1954]':1,'Northeast Belarusan [nort2598]':1,'Southwest Belarusan [sout2603]':1)'Belarusian [bela1254][bel]-l-':1",6124,vulnerable
False,0,0,0,,69,18209,bvi,bela1255,{},7.41311,language,27.6956,,Belanda Viri,'Belanda Viri [bela1255][bvi]-l-':1,19936,safe
False,0,0,0,,423,5195,bxb,bela1256,{},6.6503,language,27.8232,,Belanda Bor,'Belanda Bor [bela1256][bxb]-l-':1,7578,definitely endangered
False,0,0,0,,207,12120,beg,bela1260,{},4.96207,language,114.933,,Lemeting,'Lemeting [bela1260][beg]-l-':1,14913,severely endangered
True,0,0,0,,334,334,bvs,belg1241,{},,language,,,Belgian Sign Language,'Belgian Sign Language [belg1241][bvs]-l-':1,1290,safe
False,0,0,0,,336,12988,byw,belh1239,{},26.9972,language,87.2783,,Belhariya,'Belhariya [belh1239][byw]-l-':1,15719,severely endangered
False,3,0,0,,211,4412,blm,beli1257,{},6.40428,language,29.7954,,Beli (Sudan),"('Bahri Girinti [bahr1243]':1,'Sopi {Sudan} [sopi1241]':1,'Wulu [wulu1239]':1)'Beli {Sudan} [beli1257][blm]-l-':1",6548,definitely endangered
False,0,0,0,,426,426,bey,beli1258,{},-3.67881,language,142.34,,Beli (Papua New Guinea),'Beli {Papua New Guinea} [beli1258][bey]-l-':1,1887,vulnerable
False,0,0,0,,179,23975,bzj,beli1260,{},17.3941,language,-88.6281,,Belize Kriol English,'Belize Kriol English [beli1260][bzj]-l-':1,24156,definitely endangered
False,0,0,0,,286,286,blc,bell1243,{},52.3448,language,-126.689,,Bella Coola,'Bella Coola [bell1243][blc]-l-':1,1001,critically endangered
False,0,0,0,,291,6875,brw,bell1261,{},12.58518,language,76.10249,,Bellari,'Bellari [bell1261][brw]-l-':1,9610,definitely endangered
False,0,0,0,,425,1838,NOCODE_Belle-Isle-Pidgin,bell1264,{},,language,,,Belle-Isle Pidgin,'Belle-Isle Pidgin [bell1264]-l-':1,3376,safe
False,0,0,0,,186,11903,NOCODE_Belneng,beln1234,{},,language,,,Belneng,'Belneng [beln1234]-l-':1,14714,safe
