bookkeeping,child_dialect_count,child_family_count,child_language_count,description,family_pk,father_pk,hid,id,jsondata,latitude,level,longitude,markup_description,name,newick,pk,status
False,4,0,0,,207,6493,rob,taee1237,{},-2.58205,language,120.139,,Tae',"('Bua {Indonesia} [buaa1246]':1,'Northeast Luwu [nort2895]':1,'Rongkong [rong1270]':1,'South Luwu [sout2924]':1)'Tae'' [taee1237][rob]-l-':1",9320,safe
False,4,0,0,,207,6493,kli,kalu1247,{},-2.33388,language,119.474,,Kalumpang,"('Bone Hau [bone1253]':1,'Karataun [kara1492]':1,'Mablei [mabl1237]':1,'Mangki [mang1411]':1)'Kalumpang [kalu1247][kli]-l-':1",9321,safe
False,3,0,0,,207,6493,sda,tora1261,{},-2.97144,language,119.829,,Toraja-Sa'dan,"('Makale {Indonesia} [maka1312]':1,'Rantepao [rant1238]':1,'Toraja Barat [tora1262]':1)'Toraja-Sa''dan [tora1261][sda]-l-':1",9322,safe
False,3,0,0,,207,6494,ptt,enre1239,{},-3.53848,language,119.66,,Enrekang,"('Nuclear Enrekang [nucl1568]':1,'Pattinjo [patt1251]':1,'Ranga [rang1270]':1)'Enrekang [enre1239][ptt]-l-':1",9323,safe
False,0,0,0,,207,6494,wmm,maiw1250,{},-3.59444,language,119.978,,Maiwa (Indonesia),'Maiwa {Indonesia} [maiw1250][wmm]-l-':1,9324,safe
False,2,0,0,,207,6494,mvp,duri1242,{},-3.37081,language,119.871,,Duri,"('Cakke [cakk1237]':1,'Kalosi [kalo1260]':1)'Duri [duri1242][mvp]-l-':1",9325,safe
False,0,0,0,,207,6494,mli,mali1283,{},-3.6996,language,119.76,,Malimpung,'Malimpung [mali1283][mli]-l-':1,9326,safe
False,2,0,0,,207,6495,pnc,pann1239,{},-3.21973,language,119.191,,Pannei,"('Bulo {Indonesia} [bulo1244]':1,'Tapango [tapa1259]':1)'Pannei [pann1239][pnc]-l-':1",9328,safe
False,0,0,0,,207,6495,dkk,dakk1238,{},-3.33671,language,119.235,,Dakka,'Dakka [dakk1238][dkk]-l-':1,9329,definitely endangered
False,0,0,0,,207,6509,bei,beka1241,{},1.3307,language,109.576,,Riuk Bekati','Riuk Bekati'' [beka1241][bei]-l-':1,9339,vulnerable
False,5,0,0,,207,6513,rej,reja1240,{},-3.33056,language,102.434,,Rejang,"('Kebanagung [keba1250]':1,'Lebong [lebo1245]':1,'Pasisir [pasi1255]':1,'Rawas [rawa1266]':1,'Rejang Musi [musi1242]':1)'Rejang [reja1240][rej]-l-':1",9346,safe
