ID,Name in English,Countries,Country codes alpha 3,ISO639-3 codes,Degree of endangerment
1928,Araona,Bolivia (Plurinational State of),BOL,aro,Severely endangered
1454,Arapaho (Oklahoma),United States of America,USA,arp,Extinct
1455,Arapaho (Wyoming),United States of America,USA,arp,Severely endangered
1629,ArapÃ¡so,Brazil,BRA,arj,Extinct
1665,Arara do ParÃ¡,Brazil,BRA,aap,Vulnerable
995,ArÃ¡ra ShawÃ£dÃ¡wa,Brazil,BRA,knt,Critically endangered
1760,ArawetÃ©,Brazil,BRA,awt,Vulnerable
2101,Arawun,Papua New Guinea,PNG,awm,Severely endangered
1514,Arbanasi,Croatia,HRV,,Severely endangered
1347,ArbÃ«resh,Italy,ITA,aae,Definitely endangered
1673,Arbore,Ethiopia,ETH,arv,Definitely endangered
1038,Archi,Russian Federation,RUS,aqc,Definitely endangered
514,Arem,"Lao People's Democratic Republic, Viet Nam","LAO, VNM",aem,Severely endangered
88,Argobba,Ethiopia,ETH,agj,Critically endangered
1887,Arguni,Indonesia,IDN,agf,Vulnerable
2159,Arha,New Caledonia (France),NCL,aqr,Critically endangered
2160,Arho,New Caledonia (France),NCL,aok,Critically endangered
2099,Ari,Papua New Guinea,PNG,aac,Severely endangered
2658,Aribwatsa,Papua New Guinea,PNG,laz,Extinct
571,Arikapu,Brazil,BRA,ark,Critically endangered
891,Arikara,United States of America,USA,ari,Critically endangered
1611,Arin,Russian Federation,RUS,,Extinct
465,Arman,Russian Federation,RUS,eve,Extinct
331,Aromanian,"Albania, Bulgaria, Greece, The former Yugoslav Republic of Macedonia, Serbia","ALB, BGR, GRC, MKD, SRB",rup,Definitely endangered
168,Arrernte,Australia,AUS,"aer, are",Vulnerable
2170,Arta,Philippines,PHL,atz,Extinct
572,AruÃ¡,Brazil,BRA,arx,Severely endangered
286,Aruaco,Colombia,COL,arh,Vulnerable
1352,Arvanitika,Greece,GRC,aat,Severely endangered
1888,As,Indonesia,IDN,asz,Vulnerable
1785,Ashaninka (Brazil),Brazil,BRA,"cjo, cni, cpb, cpc, cpu, cpy, prq",Vulnerable
741,Ashaninka (Peru),Peru,PER,"cjo, cni, cpb, cpc, cpu, cpy, prq",Vulnerable
281,Ashkun,Afghanistan,AFG,ask,Definitely endangered
1779,Ashtiani,Iran (Islamic Republic of),IRN,atn,Definitely endangered
1969,Assiniboine (Canada),Canada,CAN,asb,Critically endangered
1547,Assiniboine (United States of America),United States of America,USA,asb,Critically endangered
332,Asturian-Leonese,"Spain, Portugal","ESP, PRT","ast, ext, mwl",Definitely endangered
2136,Asumboa,Solomon Islands,SLB,aua,Severely endangered
1217,Asur,India,IND,asr,Definitely endangered
1762,Asurini do Xingu,Brazil,BRA,asn,Vulnerable
2167,Ata,Philippines,PHL,atm,Extinct
573,AtacameÃ±o,"Argentina, Bolivia (Plurinational State of), Chile","ARG, BOL, CHL",kuz,Extinct
2659,Atemble,Papua New Guinea,PNG,ate,Definitely endangered
961,Athpahariya,Nepal,NPL,aph,Definitely endangered
1545,Atikamekw,Canada,CAN,atj,Vulnerable
830,Atsugewi,United States of America,USA,atw,Extinct
1708,AurÃª-AurÃ¡,Brazil,BRA,aux,Critically endangered
708,Austral dialects,French Polynesia (France),PYF,aut,Definitely endangered
333,Auvergnat,France,FRA,oci,Severely endangered
2488,Auye,Indonesia,IDN,auu,Vulnerable
1957,Ava-Canoeiro,Brazil,BRA,avv,Critically endangered
1905,Ava-GuaranÃ­,Argentina,ARG,gui,Definitely endangered
1069,Avar,Russian Federation,RUS,ava,Vulnerable
2142,Aveteian,Vanuatu,VUT,,Critically endangered
593,Awa Cuaiquer,Colombia,COL,kwi,Critically endangered
734,Awajun,Peru,PER,agr,Vulnerable
1780,Awakatek (Guatemala),Guatemala,GTM,,Vulnerable
1370,Awakatek (Mexico),Mexico,MEX,,Critically endangered
1261,Awapit,Ecuador,ECU,kwi,Severely endangered
2518,Awera,Indonesia,IDN,awr,Vulnerable
574,Aweti,Brazil,BRA,awe,Vulnerable
5,Awjila,Libyan Arab Jamahiriya,LBY,auj,Severely endangered
2519,Awyi,Indonesia,IDN,auw,Vulnerable
913,Ayapanec,Mexico,MEX,,Critically endangered
1285,Ayautla Mazatec,Mexico,MEX,vmy,Vulnerable
515,Ayizi,China,CHN,yyz,Critically endangered
755,Aymara,"Bolivia (Plurinational State of), Chile, Peru","BOL, CHL, PER","ayc, ayr",Vulnerable
1926,Ayoreo,Bolivia (Plurinational State of),BOL,ayo,Definitely endangered
2042,Babuza,China,CHN,bzg,Extinct
1569,Badaga,India,IND,bfq,Definitely endangered
170,Badala,Australia,AUS,,Critically endangered
1380,Bade,Nigeria,NGA,bde,Vulnerable
1309,Badiaranke,Guinea,GIN,pbp,Severely endangered
12,Baga Kalem,Guinea,GIN,,Extinct
1313,Baga Manduri,Guinea,GIN,bmb,Definitely endangered
9,Baga Mboteni,Guinea,GIN,bgm,Critically endangered
13,Baga Sitemu,Guinea,GIN,bsp,Severely endangered
1551,Baghati,India,IND,bfz,Critically endangered
2660,Bagupi,Papua New Guinea,PNG,bpi,Definitely endangered
1040,Bagvalal,Russian Federation,RUS,kva,Definitely endangered
2249,Baheng (China),China,CHN,pha,Vulnerable
2248,Baheng (Viet Nam),Viet Nam,VNM,pha,Vulnerable
963,Bahing,Nepal,NPL,bhj,Definitely endangered
2273,Bahonsuai,Indonesia,IDN,bsu,Definitely endangered
1691,Bai,Sudan,SDN,bdj,Definitely endangered
2430,Baima,China,CHN,bqh,Vulnerable
1301,Bainouk-Gunyaamolo,Senegal,SEN,bcz,Vulnerable
1467,Bainouk-Samik,Senegal,SEN,bcb,Severely endangered
1781,Bakairi,Brazil,BRA,bkq,Vulnerable
2639,Baki,Vanuatu,VUT,bki,Vulnerable
1417,Bakole,Cameroon,CMR,kme,Critically endangered
1393,Bakpinka,Nigeria,NGA,bbs,Critically endangered
44,Baldemu,Cameroon,CMR,bdn,Critically endangered
2274,Baleasang,Indonesia,IDN,bls,Definitely endangered
2714,Balti,"India, Pakistan","IND, PAK",bft,Vulnerable
1671,Bambassi,Ethiopia,ETH,myf,Definitely endangered
516,Bana,Lao People's Democratic Republic,LAO,phq,Severely endangered
1513,Banat Bulgarian,"Romania, Serbia","ROU, SRB",bul,Definitely endangered
1766,BanawÃ¡ Yafi,Brazil,BRA,jaa,Vulnerable
